0	134	3900
0	24	3400
0	42	4600
0	60	3700
0	79	3400
1000	32	10000
1001	110	0
1001	59	0
1001	77	10000
1002	12	0
1002	67	5000
1003	127	10000
1003	75	5000
1004	126	0
1004	83	0
1005	107	10000
1005	161	0
1005	37	10000
1006	106	0
1006	27	0
1006	45	10000
1006	81	0
1007	105	5000
1007	17	10000
1007	35	0
1007	53	6600
1008	122	0
1008	25	3300
1008	43	0
1008	61	0
1009	103	5000
1009	121	5000
1009	33	0
1009	51	2500
1010	101	10000
1010	13	10000
1010	86	0
1011	119	10000
1011	254	5000
1011	5	10000
1011	58	0
1012	11	5000
1012	48	10000
1012	84	0
1013	92	5000
1014	134	0
1014	28	10000
1014	64	10000
1015	1	0
1015	115	10000
1015	18	2000
1015	412	6600
1015	54	0
1015	72	10000
1016	80	10000
1016	99	0
1017	131	10000
1017	16	0
1017	89	10000
1018	24	10000
1018	266	0
1019	111	10000
1019	14	10000
1019	32	5000
1019	69	10000
1020	12	0
1020	67	5000
1021	127	10000
1021	20	5000
1021	75	0
1022	10	10000
1022	126	0
1022	29	5000
1023	107	0
1023	161	10000
1023	19	10000
1023	37	0
1023	55	0
1023	91	10000
1024	63	10000
1024	81	10000
1025	105	3300
1025	35	0
1025	53	8300
1026	122	0
1026	25	5000
1027	103	3300
1027	121	10000
1027	15	0
1027	51	5000
1028	102	10000
1028	157	0
1028	201	0
1028	238	10000
1029	13	0
1029	86	10000
1030	11	0
1030	4	0
1030	84	3300
1031	117	10000
1031	92	0
1032	134	5000
1032	2	0
1032	28	0
1032	64	0
1033	1	0
1033	115	5000
1033	133	10000
1033	18	3300
1033	36	10000
1033	412	0
1033	54	5000
1033	90	0
1034	150	0
1034	26	10000
1034	44	10000
1034	62	5000
1034	99	0
1035	131	0
1035	16	10000
1035	267	0
1035	34	10000
1035	89	7500
1036	24	0
1036	42	10000
1036	79	10000
1037	32	3300
1037	50	10000
1037	69	0
1038	110	0
1038	22	10000
1038	59	2500
1038	77	10000
1039	12	10000
1039	30	0
1039	67	5000
1040	10	5000
1040	126	0
1040	29	0
1041	107	10000
1041	161	0
1041	37	6600
1041	55	0
1042	106	0
1042	63	0
1042	81	0
1043	105	10000
1043	17	5000
1043	222	10000
1043	35	10000
1043	53	0
1044	104	0
1044	122	0
1044	25	0
1044	61	10000
1044	98	0
1045	121	10000
1045	15	0
1046	157	5000
1046	23	10000
1046	238	0
1046	41	0
1046	78	0
1047	101	5000
1047	31	10000
1047	86	0
1048	119	0
1048	21	5000
1048	236	2000
1048	254	6000
1048	5	0
1048	58	0
1049	11	6000
1049	4	0
1049	48	10000
1049	84	0
1050	2	10000
1050	64	0
1051	1	5000
1051	133	5000
1051	18	4200
1051	36	10000
1051	412	3300
1051	54	3300
1051	72	0
1052	114	10000
1052	150	5000
1052	26	0
1052	62	5000
1052	80	5000
1052	99	5000
1053	16	5000
1053	267	10000
1053	34	0
1053	89	6600
1054	266	0
1054	42	5000
1054	60	0
1055	111	0
1055	32	0
1056	110	5000
1056	22	6600
1056	40	0
1056	59	10000
1056	77	10000
1057	12	0
1057	30	10000
1057	67	0
1058	127	5000
1058	20	10000
1058	39	0
1058	75	5000
1059	10	0
1059	29	10000
1060	45	0
1060	81	6600
1061	105	3300
1061	17	0
1061	222	7500
1061	53	0
1062	104	6600
1062	122	6600
1062	25	0
1062	61	3300
1062	9	10000
1063	121	0
1063	15	10000
1063	51	6600
1063	8	0
1064	102	0
1064	157	10000
1064	201	5000
1064	23	3300
1064	238	10000
1064	7	0
1065	101	0
1065	13	5000
1065	31	0
1065	6	0
1065	68	0
1065	86	0
1066	119	5000
1066	21	0
1066	236	0
1066	254	10000
1066	58	5000
1066	76	0
1067	4	3300
1067	84	5000
1068	56	0
1068	74	3300
1068	92	0
1069	134	0
1069	28	5000
1069	64	6000
1070	26	0
1070	44	0
1070	62	10000
1070	80	5000
1070	99	2500
1071	113	3300
1071	16	5000
1071	89	5000
1072	24	2000
1072	266	10000
1072	42	0
1072	60	0
1072	79	0
1073	32	10000
1074	22	5000
1074	40	10000
1074	59	10000
1075	12	10000
1075	30	0
1075	67	0
1076	20	0
1076	57	0
1077	10	0
1077	29	0
1078	107	0
1078	19	6600
1078	37	10000
1078	55	0
1078	91	10000
1079	27	10000
1079	45	0
1079	81	10000
1080	104	0
1080	122	3300
1080	25	5000
1080	43	10000
1080	61	5000
1080	9	0
1081	103	5000
1081	121	10000
1081	15	5000
1081	51	7100
1082	102	0
1082	157	10000
1082	201	3300
1082	23	10000
1082	238	0
1082	96	5000
1083	13	10000
1084	119	7500
1084	21	6600
1084	236	6000
1084	254	6000
1084	58	10000
1084	76	10000
1085	11	6000
1085	4	5000
1085	48	0
1085	84	6600
1086	117	5000
1086	38	5000
1086	92	5000
1087	134	10000
1087	2	0
1087	28	0
1087	64	6600
1088	1	10000
1088	115	0
1088	18	5000
1088	36	0
1088	412	0
1088	54	5000
1089	150	5000
1089	26	0
1089	44	0
1089	62	0
1089	80	0
1089	99	0
1090	112	10000
1090	24	0
1090	266	0
1090	60	3300
1090	79	10000
1091	14	0
1091	32	7500
1092	110	10000
1092	22	0
1092	59	0
1092	77	0
1093	12	0
1093	67	0
1094	127	10000
1094	20	10000
1094	39	5000
1094	57	0
1095	10	0
1095	126	10000
1095	29	0
1095	83	10000
1096	107	5000
1096	143	5000
1096	161	10000
1096	19	10000
1096	37	5000
1096	55	10000
1096	91	10000
1097	106	10000
1097	45	0
1097	81	10000
1098	105	6600
1098	17	6600
1098	222	0
1098	35	10000
1098	53	0
1099	122	5000
1099	25	5000
1099	43	10000
1099	9	5000
1100	110	0
1100	22	7500
1100	59	7500
1101	12	10000
1101	30	0
1101	67	3300
1101	85	10000
1102	127	10000
1102	39	0
1102	57	0
1102	75	10000
1103	10	3300
1103	29	10000
1104	107	6600
1104	161	0
1104	37	10000
1104	55	2000
1104	91	10000
1105	106	10000
1105	27	0
1105	45	10000
1105	81	5000
1106	105	0
1106	17	5000
1106	222	5000
1106	35	0
1106	53	7500
1107	122	0
1107	25	0
1107	61	0
1108	103	0
1108	121	0
1108	15	0
1108	33	0
1108	51	10000
1108	8	0
1109	102	10000
1109	157	3300
1109	201	0
1109	23	3300
1109	238	3300
1109	78	10000
1109	96	5000
1110	119	3300
1110	21	6600
1110	236	2000
1110	254	6000
1110	5	3300
1110	58	6600
1110	76	2000
1111	11	6000
1111	4	2500
1111	48	0
1111	84	0
1112	117	0
1112	92	0
1113	134	10000
1113	28	0
1113	64	5000
1113	82	0
1114	1	10000
1114	115	4000
1114	133	5000
1114	18	6200
1114	412	3700
1114	54	2000
1114	72	0
1114	90	3300
1115	114	10000
1115	26	0
1115	44	5000
1115	62	5000
1115	80	5000
1115	99	5000
1116	131	5000
1116	16	0
1116	267	3300
1116	89	5500
1117	24	10000
1117	42	0
1117	79	0
1118	111	0
1118	14	0
1118	32	0
1119	22	5000
1119	40	0
1119	59	0
1119	77	10000
1120	127	5000
1120	57	5000
1120	75	0
1121	10	5000
1121	29	10000
1121	83	5000
1122	107	3300
1122	161	10000
1122	19	10000
1122	37	6600
1122	55	2500
1122	91	10000
1123	106	0
1123	27	0
1123	81	0
1124	105	0
1124	17	0
1124	222	10000
1124	35	5000
1124	53	6600
1125	104	6600
1125	122	5000
1125	25	5000
1125	43	10000
1125	61	6600
1125	9	3300
1126	103	5000
1126	121	10000
1126	15	5000
1126	51	4000
1127	102	10000
1127	120	10000
1127	157	6000
1127	201	10000
1127	23	4000
1127	238	4000
1127	41	0
1127	7	0
1127	96	10000
1128	101	0
1128	13	0
1129	119	0
1129	21	8000
1129	236	5500
1129	254	4000
1129	5	10000
1129	58	0
1129	76	5000
1130	117	6600
1130	3	0
1130	38	10000
1130	56	10000
1130	74	10000
